design,profile,batch,posterior_prob,Z_1,Z_2,Z_3,Z_4
Adaptive,17,2,3.1e-4,No limits,"Prohibit candidate;
 allow PAC",5:1 match,Disclose > $200
Adaptive,17,3,0.00345,No limits,"Prohibit candidate;
 allow PAC",5:1 match,Disclose > $200
Adaptive,17,4,0.00109,No limits,"Prohibit candidate;
 allow PAC",5:1 match,Disclose > $200
Adaptive,17,5,3.1e-4,No limits,"Prohibit candidate;
 allow PAC",5:1 match,Disclose > $200
Adaptive,17,6,0,No limits,"Prohibit candidate;
 allow PAC",5:1 match,Disclose > $200
Adaptive,17,7,0,No limits,"Prohibit candidate;
 allow PAC",5:1 match,Disclose > $200
Adaptive,17,8,0,No limits,"Prohibit candidate;
 allow PAC",5:1 match,Disclose > $200
Adaptive,17,9,0,No limits,"Prohibit candidate;
 allow PAC",5:1 match,Disclose > $200
Adaptive,17,10,0,No limits,"Prohibit candidate;
 allow PAC",5:1 match,Disclose > $200
Adaptive,18,0,0.00520833333333333,"100,000","Prohibit candidate;
 allow PAC",5:1 match,Disclose > $200
Adaptive,18,1,8.6e-4,"100,000","Prohibit candidate;
 allow PAC",5:1 match,Disclose > $200
Adaptive,18,2,5.7e-4,"100,000","Prohibit candidate;
 allow PAC",5:1 match,Disclose > $200
Adaptive,18,3,0.00716,"100,000","Prohibit candidate;
 allow PAC",5:1 match,Disclose > $200
Adaptive,18,4,0.00128,"100,000","Prohibit candidate;
 allow PAC",5:1 match,Disclose > $200
Adaptive,18,5,1.6e-4,"100,000","Prohibit candidate;
 allow PAC",5:1 match,Disclose > $200
Adaptive,18,6,1e-5,"100,000","Prohibit candidate;
 allow PAC",5:1 match,Disclose > $200
Adaptive,18,7,0,"100,000","Prohibit candidate;
 allow PAC",5:1 match,Disclose > $200
Adaptive,18,8,0,"100,000","Prohibit candidate;
 allow PAC",5:1 match,Disclose > $200
Adaptive,18,9,0,"100,000","Prohibit candidate;
 allow PAC",5:1 match,Disclose > $200
Adaptive,18,10,0,"100,000","Prohibit candidate;
 allow PAC",5:1 match,Disclose > $200
Adaptive,19,0,0.00520833333333333,"$1,000,000","Prohibit candidate;
 allow PAC",5:1 match,Disclose > $200
Adaptive,19,1,0.04115,"$1,000,000","Prohibit candidate;
 allow PAC",5:1 match,Disclose > $200
Adaptive,19,2,0.00247,"$1,000,000","Prohibit candidate;
 allow PAC",5:1 match,Disclose > $200
Adaptive,19,3,0.04462,"$1,000,000","Prohibit candidate;
 allow PAC",5:1 match,Disclose > $200
Adaptive,19,4,0.00492,"$1,000,000","Prohibit candidate;
 allow PAC",5:1 match,Disclose > $200
Adaptive,19,5,0.00241,"$1,000,000","Prohibit candidate;
 allow PAC",5:1 match,Disclose > $200
Adaptive,19,6,2.8e-4,"$1,000,000","Prohibit candidate;
 allow PAC",5:1 match,Disclose > $200
Adaptive,19,7,0,"$1,000,000","Prohibit candidate;
 allow PAC",5:1 match,Disclose > $200
Adaptive,19,8,0,"$1,000,000","Prohibit candidate;
 allow PAC",5:1 match,Disclose > $200
Adaptive,19,9,0,"$1,000,000","Prohibit candidate;
 allow PAC",5:1 match,Disclose > $200
Adaptive,19,10,0,"$1,000,000","Prohibit candidate;
 allow PAC",5:1 match,Disclose > $200
Adaptive,20,0,0.00520833333333333,"$10,000","Prohibit candidate;
 allow PAC",5:1 match,Disclose > $200
Adaptive,20,1,8.3e-4,"$10,000","Prohibit candidate;
 allow PAC",5:1 match,Disclose > $200
Adaptive,20,2,2.5e-4,"$10,000","Prohibit candidate;
 allow PAC",5:1 match,Disclose > $200
Adaptive,20,3,0.01586,"$10,000","Prohibit candidate;
 allow PAC",5:1 match,Disclose > $200
Adaptive,20,4,0.00459,"$10,000","Prohibit candidate;
 allow PAC",5:1 match,Disclose > $200
Adaptive,20,5,0.00211,"$10,000","Prohibit candidate;
 allow PAC",5:1 match,Disclose > $200
Adaptive,20,6,1.9e-4,"$10,000","Prohibit candidate;
 allow PAC",5:1 match,Disclose > $200
Adaptive,20,7,0,"$10,000","Prohibit candidate;
 allow PAC",5:1 match,Disclose > $200
Adaptive,20,8,0,"$10,000","Prohibit candidate;
 allow PAC",5:1 match,Disclose > $200
Adaptive,20,9,0,"$10,000","Prohibit candidate;
 allow PAC",5:1 match,Disclose > $200
Adaptive,20,10,1e-5,"$10,000","Prohibit candidate;
 allow PAC",5:1 match,Disclose > $200
Adaptive,21,0,0.00520833333333333,No limits,Allow all,5:1 match,Disclose > $200
Adaptive,21,1,0,No limits,Allow all,5:1 match,Disclose > $200
Adaptive,21,2,0,No limits,Allow all,5:1 match,Disclose > $200
Adaptive,21,3,0,No limits,Allow all,5:1 match,Disclose > $200
Adaptive,21,4,0,No limits,Allow all,5:1 match,Disclose > $200
Adaptive,21,5,0,No limits,Allow all,5:1 match,Disclose > $200
Adaptive,21,6,0,No limits,Allow all,5:1 match,Disclose > $200
Adaptive,21,7,0,No limits,Allow all,5:1 match,Disclose > $200
Adaptive,21,8,0,No limits,Allow all,5:1 match,Disclose > $200
Adaptive,21,9,0,No limits,Allow all,5:1 match,Disclose > $200
Adaptive,21,10,0,No limits,Allow all,5:1 match,Disclose > $200
Adaptive,22,0,0.00520833333333333,"100,000",Allow all,5:1 match,Disclose > $200
Adaptive,22,1,1e-5,"100,000",Allow all,5:1 match,Disclose > $200
Adaptive,22,2,0,"100,000",Allow all,5:1 match,Disclose > $200
Adaptive,22,3,8e-5,"100,000",Allow all,5:1 match,Disclose > $200
Adaptive,22,4,2e-5,"100,000",Allow all,5:1 match,Disclose > $200
Adaptive,22,5,1e-5,"100,000",Allow all,5:1 match,Disclose > $200
Adaptive,22,6,0,"100,000",Allow all,5:1 match,Disclose > $200
Adaptive,22,7,0,"100,000",Allow all,5:1 match,Disclose > $200
Adaptive,22,8,0,"100,000",Allow all,5:1 match,Disclose > $200
Adaptive,22,9,0,"100,000",Allow all,5:1 match,Disclose > $200
Adaptive,22,10,0,"100,000",Allow all,5:1 match,Disclose > $200
Adaptive,23,0,0.00520833333333333,"$1,000,000",Allow all,5:1 match,Disclose > $200
Adaptive,23,1,1e-5,"$1,000,000",Allow all,5:1 match,Disclose > $200
Adaptive,23,2,2e-5,"$1,000,000",Allow all,5:1 match,Disclose > $200
Adaptive,23,3,8.8e-4,"$1,000,000",Allow all,5:1 match,Disclose > $200
Adaptive,23,4,4e-5,"$1,000,000",Allow all,5:1 match,Disclose > $200
Adaptive,23,5,1.2e-4,"$1,000,000",Allow all,5:1 match,Disclose > $200
Adaptive,23,6,4e-5,"$1,000,000",Allow all,5:1 match,Disclose > $200
Adaptive,23,7,0,"$1,000,000",Allow all,5:1 match,Disclose > $200
Adaptive,23,8,0,"$1,000,000",Allow all,5:1 match,Disclose > $200
Adaptive,23,9,0,"$1,000,000",Allow all,5:1 match,Disclose > $200
Adaptive,23,10,0,"$1,000,000",Allow all,5:1 match,Disclose > $200
Adaptive,24,0,0.00520833333333333,"$10,000",Allow all,5:1 match,Disclose > $200
Adaptive,24,1,0,"$10,000",Allow all,5:1 match,Disclose > $200
Adaptive,24,2,0,"$10,000",Allow all,5:1 match,Disclose > $200
Adaptive,24,3,1.4e-4,"$10,000",Allow all,5:1 match,Disclose > $200
Adaptive,24,4,1e-5,"$10,000",Allow all,5:1 match,Disclose > $200
Adaptive,24,5,1e-4,"$10,000",Allow all,5:1 match,Disclose > $200
Adaptive,24,6,1e-5,"$10,000",Allow all,5:1 match,Disclose > $200
Adaptive,24,7,0,"$10,000",Allow all,5:1 match,Disclose > $200
Adaptive,24,8,0,"$10,000",Allow all,5:1 match,Disclose > $200
Adaptive,24,9,0,"$10,000",Allow all,5:1 match,Disclose > $200
Adaptive,24,10,0,"$10,000",Allow all,5:1 match,Disclose > $200
Adaptive,25,0,0.00520833333333333,No limits,Prohibit all,1:1 match,Disclose > $200
Adaptive,25,1,7.7e-4,No limits,Prohibit all,1:1 match,Disclose > $200
Adaptive,25,2,0.00137,No limits,Prohibit all,1:1 match,Disclose > $200
Adaptive,25,3,6.8e-4,No limits,Prohibit all,1:1 match,Disclose > $200
Adaptive,25,4,0.00252,No limits,Prohibit all,1:1 match,Disclose > $200
Adaptive,25,5,0.00167,No limits,Prohibit all,1:1 match,Disclose > $200
Adaptive,25,6,6e-5,No limits,Prohibit all,1:1 match,Disclose > $200
Adaptive,25,7,0,No limits,Prohibit all,1:1 match,Disclose > $200
Adaptive,25,8,0,No limits,Prohibit all,1:1 match,Disclose > $200
Adaptive,25,9,0,No limits,Prohibit all,1:1 match,Disclose > $200
Adaptive,25,10,0,No limits,Prohibit all,1:1 match,Disclose > $200
Adaptive,26,0,0.00520833333333333,"100,000",Prohibit all,1:1 match,Disclose > $200
Adaptive,26,1,8.4e-4,"100,000",Prohibit all,1:1 match,Disclose > $200
