case,design,arm,batch,quantity,value
Case 1: Clear winner,Thompson sampling,alt1,8,cumulative_n,89
Case 1: Clear winner,Thompson sampling,alt2,8,cumulative_n,50
Case 1: Clear winner,Thompson sampling,alt3,8,cumulative_n,64
Case 1: Clear winner,Thompson sampling,alt4,8,cumulative_n,22
Case 1: Clear winner,Thompson sampling,alt5,8,cumulative_n,43
Case 1: Clear winner,Thompson sampling,alt6,8,cumulative_n,95
Case 1: Clear winner,Thompson sampling,alt7,8,cumulative_n,17
Case 1: Clear winner,Thompson sampling,alt8,8,cumulative_n,101
Case 1: Clear winner,Thompson sampling,best,9,cumulative_n,401
Case 1: Clear winner,Thompson sampling,alt1,9,cumulative_n,90
Case 1: Clear winner,Thompson sampling,alt2,9,cumulative_n,54
Case 1: Clear winner,Thompson sampling,alt3,9,cumulative_n,68
Case 1: Clear winner,Thompson sampling,alt4,9,cumulative_n,22
Case 1: Clear winner,Thompson sampling,alt5,9,cumulative_n,44
Case 1: Clear winner,Thompson sampling,alt6,9,cumulative_n,97
Case 1: Clear winner,Thompson sampling,alt7,9,cumulative_n,17
Case 1: Clear winner,Thompson sampling,alt8,9,cumulative_n,107
Case 1: Clear winner,Thompson sampling,best,10,cumulative_n,491
Case 1: Clear winner,Thompson sampling,alt1,10,cumulative_n,90
Case 1: Clear winner,Thompson sampling,alt2,10,cumulative_n,56
Case 1: Clear winner,Thompson sampling,alt3,10,cumulative_n,69
Case 1: Clear winner,Thompson sampling,alt4,10,cumulative_n,22
Case 1: Clear winner,Thompson sampling,alt5,10,cumulative_n,48
Case 1: Clear winner,Thompson sampling,alt6,10,cumulative_n,99
Case 1: Clear winner,Thompson sampling,alt7,10,cumulative_n,17
Case 1: Clear winner,Thompson sampling,alt8,10,cumulative_n,108
Case 1: Clear winner,Control-augmented,best,0,posterior_prob,0.1111111111111111
Case 1: Clear winner,Control-augmented,alt1,0,posterior_prob,0.1111111111111111
Case 1: Clear winner,Control-augmented,alt2,0,posterior_prob,0.1111111111111111
Case 1: Clear winner,Control-augmented,alt3,0,posterior_prob,0.1111111111111111
Case 1: Clear winner,Control-augmented,alt4,0,posterior_prob,0.1111111111111111
Case 1: Clear winner,Control-augmented,alt5,0,posterior_prob,0.1111111111111111
Case 1: Clear winner,Control-augmented,alt6,0,posterior_prob,0.1111111111111111
Case 1: Clear winner,Control-augmented,alt7,0,posterior_prob,0.1111111111111111
Case 1: Clear winner,Control-augmented,alt8,0,posterior_prob,0.1111111111111111
Case 1: Clear winner,Control-augmented,best,1,posterior_prob,0.2574
Case 1: Clear winner,Control-augmented,alt1,1,posterior_prob,0.1004
Case 1: Clear winner,Control-augmented,alt2,1,posterior_prob,0.002
Case 1: Clear winner,Control-augmented,alt3,1,posterior_prob,0.0562
Case 1: Clear winner,Control-augmented,alt4,1,posterior_prob,0.0134
Case 1: Clear winner,Control-augmented,alt5,1,posterior_prob,0.154
Case 1: Clear winner,Control-augmented,alt6,1,posterior_prob,0.001
Case 1: Clear winner,Control-augmented,alt7,1,posterior_prob,0.4066
