case,design,arm,batch,posterior_prob
Case 1: Clear winner,Static,alt2,6,0.1362
Case 1: Clear winner,Static,alt3,6,2e-4
Case 1: Clear winner,Static,alt4,6,0.0336
Case 1: Clear winner,Static,alt5,6,0.0326
Case 1: Clear winner,Static,alt6,6,0.1108
Case 1: Clear winner,Static,alt7,6,0.3562
Case 1: Clear winner,Static,alt8,6,0.008
Case 1: Clear winner,Static,best,7,0.3226
Case 1: Clear winner,Static,alt1,7,0.051
Case 1: Clear winner,Static,alt2,7,0.1194
Case 1: Clear winner,Static,alt3,7,2e-4
Case 1: Clear winner,Static,alt4,7,0.0386
Case 1: Clear winner,Static,alt5,7,0.0502
Case 1: Clear winner,Static,alt6,7,0.1782
Case 1: Clear winner,Static,alt7,7,0.2378
Case 1: Clear winner,Static,alt8,7,0.002
Case 1: Clear winner,Static,best,8,0.308
Case 1: Clear winner,Static,alt1,8,0.1022
Case 1: Clear winner,Static,alt2,8,0.0848
Case 1: Clear winner,Static,alt3,8,0
Case 1: Clear winner,Static,alt4,8,0.0336
Case 1: Clear winner,Static,alt5,8,0.0468
Case 1: Clear winner,Static,alt6,8,0.1882
Case 1: Clear winner,Static,alt7,8,0.2354
Case 1: Clear winner,Static,alt8,8,0.001
Case 1: Clear winner,Static,best,9,0.4472
Case 1: Clear winner,Static,alt1,9,0.0356
Case 1: Clear winner,Static,alt2,9,0.0874
Case 1: Clear winner,Static,alt3,9,0
Case 1: Clear winner,Static,alt4,9,0.069
Case 1: Clear winner,Static,alt5,9,0.0348
Case 1: Clear winner,Static,alt6,9,0.2132
Case 1: Clear winner,Static,alt7,9,0.1098
Case 1: Clear winner,Static,alt8,9,0.003
Case 1: Clear winner,Static,best,10,0.607
Case 1: Clear winner,Static,alt1,10,0.0306
Case 1: Clear winner,Static,alt2,10,0.0542
Case 1: Clear winner,Static,alt3,10,0
Case 1: Clear winner,Static,alt4,10,0.0176
Case 1: Clear winner,Static,alt5,10,0.0426
Case 1: Clear winner,Static,alt6,10,0.1124
Case 1: Clear winner,Static,alt7,10,0.1318
Case 1: Clear winner,Static,alt8,10,0.0038
Case 2: No clear winner,Thompson sampling,best,0,0.1111111111111111
Case 2: No clear winner,Thompson sampling,alt1,0,0.1111111111111111
Case 2: No clear winner,Thompson sampling,alt2,0,0.1111111111111111
Case 2: No clear winner,Thompson sampling,alt3,0,0.1111111111111111
Case 2: No clear winner,Thompson sampling,alt4,0,0.1111111111111111
Case 2: No clear winner,Thompson sampling,alt5,0,0.1111111111111111
Case 2: No clear winner,Thompson sampling,alt6,0,0.1111111111111111
Case 2: No clear winner,Thompson sampling,alt7,0,0.1111111111111111
Case 2: No clear winner,Thompson sampling,alt8,0,0.1111111111111111
Case 2: No clear winner,Thompson sampling,best,1,0.014
Case 2: No clear winner,Thompson sampling,alt1,1,0.0102
Case 2: No clear winner,Thompson sampling,alt2,1,0.133
Case 2: No clear winner,Thompson sampling,alt3,1,0.04
Case 2: No clear winner,Thompson sampling,alt4,1,0.2326
Case 2: No clear winner,Thompson sampling,alt5,1,0.1298
Case 2: No clear winner,Thompson sampling,alt6,1,0.1188
Case 2: No clear winner,Thompson sampling,alt7,1,0.0104
Case 2: No clear winner,Thompson sampling,alt8,1,0.3112
Case 2: No clear winner,Thompson sampling,best,2,0.065
Case 2: No clear winner,Thompson sampling,alt1,2,0.0612
Case 2: No clear winner,Thompson sampling,alt2,2,0.0794
Case 2: No clear winner,Thompson sampling,alt3,2,0.1034
Case 2: No clear winner,Thompson sampling,alt4,2,0.191
Case 2: No clear winner,Thompson sampling,alt5,2,0.1864
Case 2: No clear winner,Thompson sampling,alt6,2,0.096
Case 2: No clear winner,Thompson sampling,alt7,2,0.189
Case 2: No clear winner,Thompson sampling,alt8,2,0.0286
Case 2: No clear winner,Thompson sampling,best,3,0.0634
Case 2: No clear winner,Thompson sampling,alt1,3,0.0236
Case 2: No clear winner,Thompson sampling,alt2,3,0.0504
Case 2: No clear winner,Thompson sampling,alt3,3,0.1764
Case 2: No clear winner,Thompson sampling,alt4,3,0.0258
Case 2: No clear winner,Thompson sampling,alt5,3,0.3626
Case 2: No clear winner,Thompson sampling,alt6,3,0.129
Case 2: No clear winner,Thompson sampling,alt7,3,0.1178
Case 2: No clear winner,Thompson sampling,alt8,3,0.051
Case 2: No clear winner,Thompson sampling,best,4,0.1312
Case 2: No clear winner,Thompson sampling,alt1,4,0.0212
Case 2: No clear winner,Thompson sampling,alt2,4,0.1482
Case 2: No clear winner,Thompson sampling,alt3,4,0.125
Case 2: No clear winner,Thompson sampling,alt4,4,0.0526
Case 2: No clear winner,Thompson sampling,alt5,4,0.276
Case 2: No clear winner,Thompson sampling,alt6,4,0.1686
Case 2: No clear winner,Thompson sampling,alt7,4,0.0194
Case 2: No clear winner,Thompson sampling,alt8,4,0.0578
Case 2: No clear winner,Thompson sampling,best,5,0.1666
Case 2: No clear winner,Thompson sampling,alt1,5,0.0202
Case 2: No clear winner,Thompson sampling,alt2,5,0.0542
Case 2: No clear winner,Thompson sampling,alt3,5,0.1032
Case 2: No clear winner,Thompson sampling,alt4,5,0.2136
Case 2: No clear winner,Thompson sampling,alt5,5,0.2138
Case 2: No clear winner,Thompson sampling,alt6,5,0.0452
Case 2: No clear winner,Thompson sampling,alt7,5,0.0362
Case 2: No clear winner,Thompson sampling,alt8,5,0.147
Case 2: No clear winner,Thompson sampling,best,6,0.1362
Case 2: No clear winner,Thompson sampling,alt1,6,0.0906
Case 2: No clear winner,Thompson sampling,alt2,6,0.0594
Case 2: No clear winner,Thompson sampling,alt3,6,0.0894
Case 2: No clear winner,Thompson sampling,alt4,6,0.1988
Case 2: No clear winner,Thompson sampling,alt5,6,0.1814
Case 2: No clear winner,Thompson sampling,alt6,6,0.0556
Case 2: No clear winner,Thompson sampling,alt7,6,0.0846
Case 2: No clear winner,Thompson sampling,alt8,6,0.104
Case 2: No clear winner,Thompson sampling,best,7,0.1072
Case 2: No clear winner,Thompson sampling,alt1,7,0.0994
Case 2: No clear winner,Thompson sampling,alt2,7,0.2214
Case 2: No clear winner,Thompson sampling,alt3,7,0.1144
Case 2: No clear winner,Thompson sampling,alt4,7,0.1362
Case 2: No clear winner,Thompson sampling,alt5,7,0.1264
Case 2: No clear winner,Thompson sampling,alt6,7,0.0552
Case 2: No clear winner,Thompson sampling,alt7,7,0.0888
Case 2: No clear winner,Thompson sampling,alt8,7,0.051
Case 2: No clear winner,Thompson sampling,best,8,0.1608
Case 2: No clear winner,Thompson sampling,alt1,8,0.0572
Case 2: No clear winner,Thompson sampling,alt2,8,0.2226
Case 2: No clear winner,Thompson sampling,alt3,8,0.0278
Case 2: No clear winner,Thompson sampling,alt4,8,0.0804
Case 2: No clear winner,Thompson sampling,alt5,8,0.2066
Case 2: No clear winner,Thompson sampling,alt6,8,0.028
Case 2: No clear winner,Thompson sampling,alt7,8,0.1656
Case 2: No clear winner,Thompson sampling,alt8,8,0.051
Case 2: No clear winner,Thompson sampling,best,9,0.097
Case 2: No clear winner,Thompson sampling,alt1,9,0.0244
Case 2: No clear winner,Thompson sampling,alt2,9,0.3592
Case 2: No clear winner,Thompson sampling,alt3,9,0.0236
Case 2: No clear winner,Thompson sampling,alt4,9,0.0844
Case 2: No clear winner,Thompson sampling,alt5,9,0.164
Case 2: No clear winner,Thompson sampling,alt6,9,0.0258
Case 2: No clear winner,Thompson sampling,alt7,9,0.1954
Case 2: No clear winner,Thompson sampling,alt8,9,0.0262
Case 2: No clear winner,Thompson sampling,best,10,0.132
Case 2: No clear winner,Thompson sampling,alt1,10,0.0318
