design,batch,profile,posterior_prob,Z_1,Z_2,Z_3,Z_4
Adaptive,5,17,3.1e-4,No limits,"Prohibit candidate;
 allow PAC",5:1 match,Disclose > $200
Adaptive,6,17,0,No limits,"Prohibit candidate;
 allow PAC",5:1 match,Disclose > $200
Adaptive,7,17,0,No limits,"Prohibit candidate;
 allow PAC",5:1 match,Disclose > $200
Adaptive,8,17,0,No limits,"Prohibit candidate;
 allow PAC",5:1 match,Disclose > $200
Adaptive,9,17,0,No limits,"Prohibit candidate;
 allow PAC",5:1 match,Disclose > $200
Adaptive,10,17,0,No limits,"Prohibit candidate;
 allow PAC",5:1 match,Disclose > $200
Adaptive,0,18,0.005208333333333333,"100,000","Prohibit candidate;
 allow PAC",5:1 match,Disclose > $200
Adaptive,1,18,8.6e-4,"100,000","Prohibit candidate;
 allow PAC",5:1 match,Disclose > $200
Adaptive,2,18,5.7e-4,"100,000","Prohibit candidate;
 allow PAC",5:1 match,Disclose > $200
Adaptive,3,18,0.00716,"100,000","Prohibit candidate;
 allow PAC",5:1 match,Disclose > $200
Adaptive,4,18,0.00128,"100,000","Prohibit candidate;
 allow PAC",5:1 match,Disclose > $200
Adaptive,5,18,1.6e-4,"100,000","Prohibit candidate;
 allow PAC",5:1 match,Disclose > $200
Adaptive,6,18,1e-5,"100,000","Prohibit candidate;
 allow PAC",5:1 match,Disclose > $200
Adaptive,7,18,0,"100,000","Prohibit candidate;
 allow PAC",5:1 match,Disclose > $200
Adaptive,8,18,0,"100,000","Prohibit candidate;
 allow PAC",5:1 match,Disclose > $200
Adaptive,9,18,0,"100,000","Prohibit candidate;
 allow PAC",5:1 match,Disclose > $200
Adaptive,10,18,0,"100,000","Prohibit candidate;
 allow PAC",5:1 match,Disclose > $200
Adaptive,0,19,0.005208333333333333,"$1,000,000","Prohibit candidate;
 allow PAC",5:1 match,Disclose > $200
Adaptive,1,19,0.04115,"$1,000,000","Prohibit candidate;
 allow PAC",5:1 match,Disclose > $200
Adaptive,2,19,0.00247,"$1,000,000","Prohibit candidate;
 allow PAC",5:1 match,Disclose > $200
Adaptive,3,19,0.04462,"$1,000,000","Prohibit candidate;
 allow PAC",5:1 match,Disclose > $200
Adaptive,4,19,0.00492,"$1,000,000","Prohibit candidate;
 allow PAC",5:1 match,Disclose > $200
Adaptive,5,19,0.00241,"$1,000,000","Prohibit candidate;
 allow PAC",5:1 match,Disclose > $200
