table_figure,algorithm,case,batches,best_arm_value,first_batch,statistic,value_paper
table_d3,Static,NA,NA,0.11,NA,correct,0.180
table_d3,Static,NA,NA,0.11,NA,rmse_best,0.024
table_d3,Static,NA,NA,0.11,NA,rmse_te,0.033
table_d3,Static,NA,NA,0.11,NA,cov_best,0.935
table_d3,Static,NA,NA,0.11,NA,cov_te,0.947
table_d3,Static,NA,NA,0.12,NA,correct,0.266
table_d3,Static,NA,NA,0.12,NA,rmse_best,0.025
table_d3,Static,NA,NA,0.12,NA,rmse_te,0.034
table_d3,Static,NA,NA,0.12,NA,cov_best,0.929
table_d3,Static,NA,NA,0.12,NA,cov_te,0.945
table_d3,Static,NA,NA,0.13,NA,correct,0.363
table_d3,Static,NA,NA,0.13,NA,rmse_best,0.026
table_d3,Static,NA,NA,0.13,NA,rmse_te,0.034
table_d3,Static,NA,NA,0.13,NA,cov_best,0.936
table_d3,Static,NA,NA,0.13,NA,cov_te,0.948
table_d3,Static,NA,NA,0.14,NA,correct,0.471
table_d3,Static,NA,NA,0.14,NA,rmse_best,0.026
table_d3,Static,NA,NA,0.14,NA,rmse_te,0.035
table_d3,Static,NA,NA,0.14,NA,cov_best,0.938
table_d3,Static,NA,NA,0.14,NA,cov_te,0.949
table_d3,Static,NA,NA,0.15,NA,correct,0.575
table_d3,Static,NA,NA,0.15,NA,rmse_best,0.027
table_d3,Static,NA,NA,0.15,NA,rmse_te,0.035
table_d3,Static,NA,NA,0.15,NA,cov_best,0.937
table_d3,Static,NA,NA,0.15,NA,cov_te,0.946
table_d3,Static,NA,NA,0.16,NA,correct,0.666
table_d3,Static,NA,NA,0.16,NA,rmse_best,0.028
table_d3,Static,NA,NA,0.16,NA,rmse_te,0.036
table_d3,Static,NA,NA,0.16,NA,cov_best,0.944
table_d3,Static,NA,NA,0.16,NA,cov_te,0.953
table_d3,Static,NA,NA,0.17,NA,correct,0.750
table_d3,Static,NA,NA,0.17,NA,rmse_best,0.028
table_d3,Static,NA,NA,0.17,NA,rmse_te,0.037
table_d3,Static,NA,NA,0.17,NA,cov_best,0.947
table_d3,Static,NA,NA,0.17,NA,cov_te,0.950
