table_figure,source_block,algorithm,topic,study,arm,case,batches,first_batch,best_arm_value_hundredths,statistic,value_script
figure_3,study_1_counts,NA,Right-to-work,NA,Proposal 1 (Y),NA,NA,NA,NA,n,86
figure_3,study_1_counts,NA,Minimum wage,NA,Proposal 1 (Y),NA,NA,NA,NA,n,86
figure_3,study_1_counts,NA,Minimum wage,NA,Proposal 1 (N),NA,NA,NA,NA,n,46
figure_3,study_1_counts,NA,Minimum wage,NA,Proposal 2 (Y),NA,NA,NA,NA,n,63
figure_3,study_1_counts,NA,Minimum wage,NA,Proposal 2 (N),NA,NA,NA,NA,n,41
figure_3,study_1_counts,NA,Minimum wage,NA,Proposal 3 (Y),NA,NA,NA,NA,n,121
figure_3,study_1_counts,NA,Minimum wage,NA,Proposal 3 (N),NA,NA,NA,NA,n,183
figure_3,study_1_counts,NA,Minimum wage,NA,Proposal 4 (Y),NA,NA,NA,NA,n,87
figure_3,study_1_counts,NA,Minimum wage,NA,Proposal 4 (N),NA,NA,NA,NA,n,31
figure_3,study_1_counts,NA,Minimum wage,NA,Proposal 5 (Y),NA,NA,NA,NA,n,209
figure_3,study_1_counts,NA,Minimum wage,NA,Proposal 5 (N),NA,NA,NA,NA,n,133
text_study1_f_tests,study_1_f,NA,NA,mw,NA,NA,NA,NA,NA,f_statistic,3.415861
text_study1_f_tests,study_1_f,NA,NA,mw,NA,NA,NA,NA,NA,p_value,0.429
text_study1_f_tests,study_1_f,NA,NA,rtw,NA,NA,NA,NA,NA,f_statistic,14.805485
text_study1_f_tests,study_1_f,NA,NA,rtw,NA,NA,NA,NA,NA,p_value,0.199
text_study2_f_tests,study_2_f,NA,NA,d,NA,NA,NA,NA,NA,f_statistic,1.933602
text_study2_f_tests,study_2_f,NA,NA,d,NA,NA,NA,NA,NA,p_value,0.028
text_study2_f_tests,study_2_f,NA,NA,r,NA,NA,NA,NA,NA,f_statistic,2.313104
text_study2_f_tests,study_2_f,NA,NA,r,NA,NA,NA,NA,NA,p_value,0.013
